; Adult arrivals for Baltic example
; Baltic Atlantic salmon returning to natal reaches
; Year,Species,Reach,Number,Fraction female,Arrival start,Arrival peak,Arrival end,Length min,Length mode,Length max
2011,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2011,7/1/2011,8/31/2011,55,70,90
2011,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2011,7/15/2011,9/15/2011,50,65,85
2011,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2011,7/5/2011,9/1/2011,55,68,88
2011,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2011,7/15/2011,9/1/2011,55,68,85
2011,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2011,8/1/2011,9/15/2011,50,62,80
2011,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2011,7/20/2011,9/10/2011,52,65,82
2012,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2012,7/1/2012,8/31/2012,55,70,90
2012,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2012,7/15/2012,9/15/2012,50,65,85
2012,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2012,7/5/2012,9/1/2012,55,68,88
2012,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2012,7/15/2012,9/1/2012,55,68,85
2012,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2012,8/1/2012,9/15/2012,50,62,80
2012,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2012,7/20/2012,9/10/2012,52,65,82
2013,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2013,7/1/2013,8/31/2013,55,70,90
2013,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2013,7/15/2013,9/15/2013,50,65,85
2013,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2013,7/5/2013,9/1/2013,55,68,88
2013,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2013,7/15/2013,9/1/2013,55,68,85
2013,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2013,8/1/2013,9/15/2013,50,62,80
2013,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2013,7/20/2013,9/10/2013,52,65,82
2014,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2014,7/1/2014,8/31/2014,55,70,90
2014,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2014,7/15/2014,9/15/2014,50,65,85
2014,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2014,7/5/2014,9/1/2014,55,68,88
2014,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2014,7/15/2014,9/1/2014,55,68,85
2014,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2014,8/1/2014,9/15/2014,50,62,80
2014,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2014,7/20/2014,9/10/2014,52,65,82
2015,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2015,7/1/2015,8/31/2015,55,70,90
2015,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2015,7/15/2015,9/15/2015,50,65,85
2015,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2015,7/5/2015,9/1/2015,55,68,88
2015,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2015,7/15/2015,9/1/2015,55,68,85
2015,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2015,8/1/2015,9/15/2015,50,62,80
2015,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2015,7/20/2015,9/10/2015,52,65,82
2016,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2016,7/1/2016,8/31/2016,55,70,90
2016,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2016,7/15/2016,9/15/2016,50,65,85
2016,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2016,7/5/2016,9/1/2016,55,68,88
2016,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2016,7/15/2016,9/1/2016,55,68,85
2016,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2016,8/1/2016,9/15/2016,50,62,80
2016,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2016,7/20/2016,9/10/2016,52,65,82
2017,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2017,7/1/2017,8/31/2017,55,70,90
2017,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2017,7/15/2017,9/15/2017,50,65,85
2017,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2017,7/5/2017,9/1/2017,55,68,88
2017,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2017,7/15/2017,9/1/2017,55,68,85
2017,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2017,8/1/2017,9/15/2017,50,62,80
2017,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2017,7/20/2017,9/10/2017,52,65,82
2018,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2018,7/1/2018,8/31/2018,55,70,90
2018,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2018,7/15/2018,9/15/2018,50,65,85
2018,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2018,7/5/2018,9/1/2018,55,68,88
2018,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2018,7/15/2018,9/1/2018,55,68,85
2018,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2018,8/1/2018,9/15/2018,50,62,80
