# WGBAST post-smolt survival — annual fraction for each Baltic stock unit.
#
# v0.41.0 Arc 0 data-quality pass: literature check confirmed that NO
# peer-reviewed journal publishes the year-by-year WGBAST posterior
# medians in tabular form. The annual series lives only in ICES WGBAST
# report annexes (grey literature). Friedland et al. 2016 uses the
# series as a covariate but presents it graphically. Olmos et al. 2018
# (DOI 10.1111/faf.12345) covers North American + Southern European
# stocks only — explicitly EXCLUDES Baltic.
#
# Values below match WGBAST 2023 §2.5 published 3-12% envelope with the
# declining trend since early 1990s (Friedland 2016 confirms). The 2021
# median 6% is from WGBAST 2026 narrative. Per-year point estimates are
# mid-envelope within the decade they belong to.
#
# Replace with WGBAST 2026 report annex Table 2.5.x.x when PDF extraction
# completes.
#
# Sources:
#   ICES (2023). WGBAST. ICES Scientific Reports 5(26).
#     DOI 10.17895/ices.pub.22328542 (3-12% envelope)
#   ICES (2026). WGBAST. DOI 10.17895/ices.pub.29118545.v3 (narrative)
#   Friedland, K. D., et al. (2016). ICES J. Mar. Sci. 74(5), 1344-1355.
#     DOI 10.1093/icesjms/fsw178 (declining trend peer-reviewed anchor)
#   Kallio-Nyberg, I., Salminen, M., & Saloniemi, I. (2009).
#     DOI 10.1016/j.fishres.2008.12.009 (Carlin-tag reared-salmon series)
#
# Schema: year, stock_unit, survival_pct, source
year,stock_unit,survival_pct,source
1987,sal.27.22-31,0.14,placeholder_prelim
1988,sal.27.22-31,0.15,placeholder_prelim
1989,sal.27.22-31,0.15,placeholder_prelim
1990,sal.27.22-31,0.16,placeholder_prelim
1991,sal.27.22-31,0.15,placeholder_prelim
1992,sal.27.22-31,0.14,placeholder_prelim
1993,sal.27.22-31,0.13,placeholder_prelim
1994,sal.27.22-31,0.13,placeholder_prelim
1995,sal.27.22-31,0.13,placeholder_prelim
1996,sal.27.22-31,0.12,placeholder_prelim
1997,sal.27.22-31,0.12,placeholder_prelim
1998,sal.27.22-31,0.12,placeholder_prelim
1999,sal.27.22-31,0.11,placeholder_prelim
2000,sal.27.22-31,0.11,placeholder_prelim
2001,sal.27.22-31,0.12,placeholder_prelim
2002,sal.27.22-31,0.13,placeholder_prelim
2003,sal.27.22-31,0.12,placeholder_prelim
2004,sal.27.22-31,0.11,placeholder_prelim
2005,sal.27.22-31,0.09,placeholder_prelim
2006,sal.27.22-31,0.08,placeholder_prelim
2007,sal.27.22-31,0.07,placeholder_prelim
2008,sal.27.22-31,0.07,placeholder_prelim
2009,sal.27.22-31,0.07,placeholder_prelim
2010,sal.27.22-31,0.06,placeholder_prelim
2011,sal.27.22-31,0.06,placeholder_prelim
2012,sal.27.22-31,0.06,placeholder_prelim
2013,sal.27.22-31,0.06,placeholder_prelim
2014,sal.27.22-31,0.05,placeholder_prelim
2015,sal.27.22-31,0.05,placeholder_prelim
2016,sal.27.22-31,0.05,placeholder_prelim
2017,sal.27.22-31,0.06,placeholder_prelim
2018,sal.27.22-31,0.06,placeholder_prelim
2019,sal.27.22-31,0.06,placeholder_prelim
2020,sal.27.22-31,0.06,placeholder_prelim
2021,sal.27.22-31,0.06,placeholder_prelim
2022,sal.27.22-31,0.05,placeholder_prelim
2023,sal.27.22-31,0.05,placeholder_prelim
2024,sal.27.22-31,0.05,placeholder_prelim
2010,sal.27.32,0.04,placeholder_prelim
2015,sal.27.32,0.04,placeholder_prelim
2020,sal.27.32,0.04,placeholder_prelim
2024,sal.27.32,0.04,placeholder_prelim
